date,ticker,call_volume,put_volume,total_volume,call_open_interest,put_open_interest
2025-07-11,AMZN,117262.0,36059.0,153321.0,197405.0,110179.0
2025-07-11,SOFI,58343.0,28552.0,86895.0,185149.0,130453.0
2025-07-11,SHOP,2973.0,2842.0,5815.0,16234.0,15804.0
2025-07-11,ADBE,2257.0,1240.0,3497.0,11877.0,9465.0
2025-07-11,BABA,13994.0,4794.0,18788.0,50471.0,26772.0
2025-07-11,TSM,8021.0,2560.0,10581.0,43550.0,42979.0
2025-07-11,KHC,872.0,380.0,1252.0,16659.0,4209.0
2025-07-11,STZ,249.0,228.0,477.0,3505.0,4128.0
2025-07-11,CPB,372.0,131.0,503.0,6701.0,5952.0
2025-07-14,TW,72.0,40.0,112.0,4735.0,2681.0
2025-07-14,NVDA,492558.0,244414.0,736972.0,1551988.0,1162716.0
2025-07-14,WM,583.0,133.0,716.0,5359.0,6465.0
2025-07-14,TALK,23.0,24.0,47.0,10243.0,1172.0
2025-07-14,MAPS,122.0,5.0,127.0,5762.0,23.0
2025-07-14,PG,6324.0,4269.0,10593.0,47712.0,22677.0
2025-07-14,E,37.0,3.0,40.0,107.0,14.0
2025-07-14,EIX,1871.0,146.0,2017.0,30347.0,15805.0
2025-07-14,PCG,4962.0,1759.0,6721.0,188684.0,39916.0
2025-07-14,JBL,102.0,193.0,295.0,3462.0,4995.0
2025-07-14,EPS,5.0,0.0,5.0,15.0,0.0
2025-07-14,PFE,9638.0,5078.0,14716.0,160696.0,134780.0
2025-07-14,B,2809.0,624.0,3433.0,80915.0,26782.0
2025-07-14,JNJ,2582.0,1838.0,4420.0,53908.0,36700.0
2025-07-14,AI,4806.0,2201.0,7007.0,184683.0,26029.0
2025-07-14,ORCL,39375.0,7505.0,46880.0,70482.0,64095.0
2025-07-14,U,5482.0,1609.0,7091.0,64103.0,28648.0
2025-07-14,STT,20187.0,524.0,20711.0,28227.0,2355.0
2025-07-14,LMT,2457.0,754.0,3211.0,16016.0,7842.0
2025-07-14,S,1011.0,64.0,1075.0,10018.0,2121.0
2025-07-14,NVMI,62.0,622.0,684.0,245.0,771.0
2025-07-14,MNDY,167.0,52.0,219.0,1024.0,603.0
2025-07-14,INTU,885.0,1071.0,1956.0,5657.0,9675.0
2025-07-14,AVGO,30339.0,18665.0,49004.0,134467.0,130963.0
2025-07-14,PLTR,175610.0,108748.0,284358.0,392236.0,294374.0
2025-07-14,NOW,6281.0,2381.0,8662.0,12070.0,9923.0
2025-07-14,LLY,6318.0,3887.0,10205.0,65152.0,28380.0
2025-07-14,AU,343.0,3550.0,3893.0,25155.0,45998.0
2025-07-14,APP,23849.0,9704.0,33553.0,51197.0,37699.0
2025-07-14,EA,162.0,1028.0,1190.0,7026.0,2535.0
2025-07-14,URBN,271.0,342.0,613.0,3808.0,3421.0
2025-07-14,FOX,36.0,11.0,47.0,304.0,108.0
2025-07-14,MSFT,25741.0,27359.0,53100.0,209574.0,152368.0
2025-07-14,GOOGL,115362.0,32448.0,147810.0,328597.0,177633.0
2025-07-14,NFLX,16723.0,19007.0,35730.0,60669.0,62181.0
2025-07-14,GE,3255.0,3907.0,7162.0,86207.0,35769.0
2025-07-14,TTE,86.0,63.0,149.0,5820.0,1270.0
2025-07-14,CVX,7473.0,3436.0,10909.0,58967.0,31958.0
2025-07-14,PEP,4918.0,7667.0,12585.0,69143.0,101296.0
2025-07-14,CME,240.0,59.0,299.0,6240.0,4332.0
2025-07-14,FAST,8745.0,3094.0,11839.0,14857.0,6107.0
2025-07-14,ZION,86.0,886.0,972.0,1650.0,7479.0
2025-07-14,HON,702.0,168.0,870.0,13508.0,12573.0
2025-07-14,IPO,352.0,12.0,364.0,614.0,17.0
2025-07-14,MS,2905.0,2320.0,5225.0,50716.0,47564.0
2025-07-14,AMZN,114167.0,41738.0,155905.0,431394.0,244514.0
